App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5965030,HDR,9/9/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5962037,HDR,3/4/2020,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5960893,HDR,2/18/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5959983,HDR,2/4/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,10/3/2020 17:00
5959917,HDR,2/4/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5965250,HDR,9/25/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5962458,PDR,3/10/2020,Incomplete,Not Applicable,Not Applicable,Not Applicable,Needed,Not Applicable,Not Applicable,Not Applicable,10/3/2020 17:00
5962257,HDR,3/6/2020,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5963749,HDR,6/13/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,10/3/2020 17:00
5961500,HDR,2/26/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5965135,HDR,9/17/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5965200,HDR,9/22/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964980,HDR,9/5/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5962539,HDR,3/10/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5960597,HDR,2/13/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5963623,HDR,5/27/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964619,HDR,8/14/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964006,HDR,7/6/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5956561,HDR,12/12/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5963629,HDR,5/27/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5960659,HDR,2/15/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Needed,Not Applicable,10/3/2020 17:00
5964030,HDR,7/8/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5965249,HDR,9/24/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5959986,HDR,2/4/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5964641,HDR,8/17/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962132,HDR,3/5/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5963760,HDR,6/15/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5964190,HDR,7/22/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5964385,HDR,7/31/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5959565,HDR,1/29/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5959875,HDR,2/3/2020,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962548,HDR,3/10/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5962424,HDR,3/9/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964282,HDR,7/25/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5960693,HDR,2/16/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Complete,Needed,Not Applicable,10/3/2020 17:00
5964447,HDR,8/5/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5956470,HDR,12/11/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5964456,HDR,8/5/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5964176,HDR,7/21/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5964001,HDR,7/6/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964118,HDR,7/15/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5963701,HDR,6/8/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5963321,HDR,3/30/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962910,HDR,3/16/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5964027,HDR,7/8/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5963581,HDR,5/20/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5963808,HDR,6/20/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,10/3/2020 17:00
5958174,HDR,1/9/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5964850,HDR,8/28/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5964590,HDR,8/13/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5960068,HDR,2/5/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/3/2020 17:00
5960375,HDR,2/10/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5962842,HDR,3/14/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5959604,HDR,1/29/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962286,HDR,3/6/2020,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5965061,HDR,9/11/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962246,HDR,3/6/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5961441,HDR,2/25/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5959405,HDR,1/27/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5965180,HDR,9/21/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5960425,HDR,2/11/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/3/2020 17:00
5961702,HDR,2/28/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5959863,HDR,2/3/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5961107,HDR,2/21/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,10/3/2020 17:00
5963308,HDR,3/29/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints & other items needed. Visit www.nyc.gov/tlcup,10/3/2020 17:00
5963837,HDR,6/23/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5957975,HDR,1/7/2020,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5959804,HDR,2/2/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5962131,HDR,3/5/2020,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5960237,HDR,2/7/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962609,HDR,3/11/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5961026,HDR,2/20/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5963675,HDR,6/3/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Complete,Fingerprints needed,10/3/2020 17:00
5964845,HDR,8/27/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,10/3/2020 17:00
5962491,HDR,3/10/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5964124,HDR,7/16/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962629,HDR,3/11/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,10/3/2020 17:00
5956529,HDR,12/12/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,10/3/2020 17:00
5964662,HDR,8/18/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5963495,HDR,5/1/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5960238,HDR,2/7/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5963963,HDR,7/1/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Copy of DMV license needed,10/3/2020 17:00
5963674,HDR,6/2/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5964060,HDR,7/11/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5963979,HDR,7/2/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Needed,Not Applicable,10/3/2020 17:00
5963768,HDR,6/16/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5957420,HDR,12/30/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5962462,HDR,3/10/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5964206,HDR,7/22/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5958670,HDR,1/16/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5960510,HDR,2/13/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5961131,HDR,2/21/2020,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5961194,HDR,2/22/2020,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962926,HDR,3/16/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5963077,HDR,3/18/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,10/3/2020 17:00
5961414,HDR,2/25/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5959627,HDR,1/30/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5965295,HDR,9/28/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5963985,HDR,7/4/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5961839,HDR,3/3/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5963524,HDR,5/9/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5962304,HDR,3/7/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5957073,HDR,12/23/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5964398,HDR,7/31/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,10/3/2020 17:00
5921772,PDR,4/28/1997,Incomplete,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fingerprints needed,10/3/2020 17:00
5958983,HDR,1/21/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5964377,HDR,7/30/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5960278,HDR,2/7/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/3/2020 17:00
5959309,HDR,1/26/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5964549,HDR,8/11/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5962860,HDR,3/15/2020,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5964400,HDR,8/1/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964815,HDR,8/26/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5958546,HDR,1/14/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5964938,HDR,9/2/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5958830,HDR,1/19/2020,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5962875,HDR,3/16/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5964365,PDR,7/30/2020,Incomplete,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Fingerprints needed,10/3/2020 17:00
5964407,HDR,8/2/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5960241,HDR,2/7/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5964809,HDR,8/26/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5958549,HDR,1/14/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5962542,HDR,3/10/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5959007,HDR,1/21/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5963562,HDR,5/17/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5959801,HDR,2/2/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5965201,HDR,9/22/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962773,HDR,3/13/2020,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5921796,HDR,2/6/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,10/3/2020 17:00
5958538,HDR,1/14/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5962312,HDR,3/8/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962249,HDR,3/6/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964701,HDR,8/20/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5956717,HDR,12/16/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5960897,HDR,2/19/2020,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5962727,HDR,3/12/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5964498,HDR,8/8/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5963686,HDR,6/5/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964635,HDR,8/17/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5962164,HDR,3/5/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5959969,HDR,2/4/2020,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962294,HDR,3/7/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5958269,HDR,1/12/2020,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5963567,HDR,5/18/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,10/3/2020 17:00
5965313,HDR,9/29/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5958818,HDR,1/19/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5921787,HDR,2/6/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,10/3/2020 17:00
5960696,HDR,2/16/2020,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5964626,HDR,8/15/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5959621,HDR,1/30/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/3/2020 17:00
5956305,HDR,12/8/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964989,HDR,9/8/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962780,HDR,3/13/2020,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5964013,HDR,7/7/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,10/3/2020 17:00
5964098,HDR,7/14/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5961250,HDR,2/24/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/3/2020 17:00
5964618,HDR,8/14/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5957074,HDR,12/23/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5965017,HDR,9/9/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5965351,HDR,10/1/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5965334,HDR,9/30/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
